629.965149,25.815302
523.132446,53.979198
472.123077,55.971741
386.282379,52.197712
293.030304,98.440140
236.845245,120.891174
159.180695,157.024460
147.209732,166.955933
149.489578,187.779800
158.632446,195.953217
143.961517,204.925552
128.309113,232.806747
121.562569,266.760468
115.268944,310.399689
137.798874,332.409210
159.218430,346.232147
181.793365,369.274994
186.864731,376.208008
271.290955,379.368164
296.515778,381.717987
368.034515,380.805511
406.121399,380.852203
461.966248,377.983490
514.514832,373.064087
576.121765,364.063507
583.243286,359.086731
589.408264,356.134064
599.591370,359.087646
606.605347,350.029877
623.254517,352.964294
656.448303,337.081665
672.439636,300.071747
686.405884,249.932144
684.942017,198.680115
677.689514,137.041351
670.104187,116.991058
655.219116,87.977432
645.591797,63.976692
646.640991,64.958023
631.956299,28.862169
630.943970,27.847870
